phoneNumber,messageTime,messageType,message
alhokair AD,6/14/2018 19:18,Received,سباركيز خيارك الاول في عالم الترفيه وعيدكم مبارك
AlhokairAD,6/15/2018 7:03,Received,"نتشرف بزيارتكم مجدداً في سباركيز b
it.ly/2l8mNdZ"
AsalBarriAD,6/15/2018 21:42,Received,"عيدكم مبارك.

فروع العسل البري المداومة في العيد
http://bit.ly/2yfxXaj"
AlRajhiBank,7/9/2018 13:09,Received,دفع عبر نقاط البيع مدى اثير 47.00SAR بطاقة مدى رقم **100 KUDU R0003 2018/07/09 13:09
AlRajhiBank,7/9/2018 19:35,Received,دفع عبر نقاط البيع 53.00SAR بطاقة مدى رقم ****100 DIPLOMAT SWEETS 2018/07/09 19:36
AlRajhiBank,7/9/2018 21:22,Received,دفع عبر نقاط البيع 120.00SAR بطاقة مدى رقم ****100 SANABEL ALSALAM 2018/07/10 21:22
AlRajhiBank,8/11/2019 20:27,Received,"سحب: صراف آلي
بطاقة:***6100;مدى 
من:***8815 
مبلغ:SAR 400.00 
في:2019-08-11 20:28:12"
AlRajhiBank,8/12/2019 20:39,Received,"شراء عبر نقاط البيع
بطاقة:***6100;مدى(أثير) 
من:***8815 
لدى:PAPPAROTI 
مبلغ:SAR 28.00 
في:2019-08-13 20:39:29"
AlRajhiBank,8/13/2019 0:01,Received,"كلمة مرور صالحة لمرة واحدة
رمز:3013 
لـ :الدخول - المباشر للأفراد 
في: 2019-08-13 00:02:01"
AlRajhiBank,8/13/2019 14:43,Received,"شراء عبر نقاط البيع
بطاقة:***6100;مدى 
من:***8815 
لدى:SAUDI HYPERMARKET CO. 
مبلغ:SAR 329.82 
في:2019-08-13 14:43:40"
AlRajhiBank,8/13/2019 14:46,Received,"شراء عبر نقاط البيع
بطاقة:***6100;مدى(أثير) 
من:***8815 
لدى:KFC CAREFEOUR 
مبلغ:SAR 15.00 
في:2019-08-13 14:47:20"
